a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	1	261-G22	261-G21	4973	0.853051	0.035075	0.000015	0.041358	0.000001	0.068255	0.002186	0.00006	0	0.019193	0.070501	0.041419	0.00987	0.001093	0.000001	0.000075	0	0.000075	0.074606	0.013449	-6178.126044	66	-1	0.943643	"5.750025e-01,1.441008e-01,2.185974e-02,1.368624e-01,6.421403e-02,1.573448e-02,2.189958e-02,1.597506e-02,4.351468e-03"	0.68146	0.180158	-0.052833	-6848.562218	7
0	2	261-G22	261-G24	4276	0.850134	0	0	0.062335	0	0.080108	0	0.007422	0	0	0.087531	0.069758	0	0	0	0.007422	0	0.007423	0.078644	0.008887	-5304.416124	66	-1	0.811385	"5.743176e-01,1.430025e-01,2.350018e-02,1.399172e-01,5.717039e-02,1.762939e-02,2.650839e-02,1.381820e-02,4.136083e-03"	0.874728	0.156899	-0.099944	-5913.556839	9
0	3	261-G22	268-G11	5018	0.877024	0.002236	0.000319	0.039084	0.005244	0.05017	0	0.025923	0	0.005371	0.076093	0.070251	0.003341	0	0.002622	0.026242	0	0.026242	0.077231	0.005543	-6265.582155	166	-1	0.952182	"5.719877e-01,1.473787e-01,2.347781e-02,1.325469e-01,6.512898e-02,1.717629e-02,2.509148e-02,1.275044e-02,4.461777e-03"	0.74574	0.181711	-0.072731	-6947.121097	9
0	4	261-G22	Y19	5144	0.858115	0.000022	0	0.06718	0	0.053072	0	0.021611	0	0.000011	0.074683	0.088791	0.000005	0	0	0.021611	0	0.021611	0.081748	-0.007054	-6403.365662	90	-1	0.976091	"5.688376e-01,1.444180e-01,2.733017e-02,1.378044e-01,6.047895e-02,1.836374e-02,2.393993e-02,1.332333e-02,5.503875e-03"	0.847735	0.165614	-0.096722	-7162.108883	6
0	5	261-G22	281-G245	5152	0.914184	0	0	0.008957	0	0.038703	0	0.038156	0	0	0.076859	0.047113	0	0	0	0.038156	0	0.038156	0.061986	0.014873	-6260.220544	102	-1	0.977609	"5.799325e-01,1.417647e-01,2.010937e-02,1.386972e-01,6.257942e-02,1.405568e-02,2.591607e-02,1.220550e-02,4.739538e-03"	0.735472	0.177405	-0.06824	-6977.471312	9
0	6	261-G22	Y13	5127	0.864482	0	0	0.055874	0.005456	0.074179	0	0.000006	0.000002	0.004094	0.074187	0.061338	0.00273	0.000002	0.00273	0.000006	0.000002	0.000008	0.070491	0.009153	-6258.004439	62	-1	0.972865	"5.724810e-01,1.456744e-01,2.115010e-02,1.415105e-01,5.988910e-02,1.640184e-02,2.599601e-02,1.196933e-02,4.927732e-03"	0.787224	0.165119	-0.079027	-7021.743382	6
0	7	261-G22	261-G19	3210	0.897706	0	0	0.032844	0	0.026377	0.002088	0.040112	0.000873	0.002439	0.06945	0.073829	0.001917	0.001917	0.000873	0.040112	0.000873	0.040985	0.072684	-0.003233	-4056.586096	142	-1	0.609108	"5.675500e-01,1.430429e-01,2.471424e-02,1.463159e-01,6.299222e-02,1.327782e-02,2.397580e-02,1.421734e-02,3.913713e-03"	0.772953	0.172325	-0.077653	-4476.363458	7
0	8	261-G22	268-G19	4830	0.837774	0.000003	0.000001	0.081641	0	0.078761	0.001772	0.000048	0	0.001332	0.080582	0.081688	0.000888	0.000886	0	0.000048	0	0.000049	0.082023	-0.00144	-5933.141146	74	-1	0.916509	"5.779763e-01,1.413944e-01,2.471960e-02,1.419410e-01,5.591662e-02,1.558916e-02,2.135458e-02,1.464370e-02,6.464722e-03"	0.82398	0.155478	-0.085171	-6629.553967	9
0	9	261-G22	281-G248	5160	0.910271	0	0	0.015166	0.000107	0.069061	0	0.005394	0	0.00008	0.074456	0.020668	0.000053	0	0.000053	0.005394	0	0.005394	0.047615	0.026947	-6281.020048	118	-1	0.979127	"5.756430e-01,1.441085e-01,2.022119e-02,1.410410e-01,6.140715e-02,1.464560e-02,2.149876e-02,1.658309e-02,4.851799e-03"	0.679399	0.171481	-0.050167	-7057.75222	6
0	10	261-G22	281-G249	5151	0.899556	0.00003	0	0.024388	0.002007	0.050934	0	0.023084	0	0.00152	0.074018	0.049479	0.001011	0	0.001004	0.023084	0	0.023084	0.062768	0.013273	-6346.460045	142	-1	0.977419	"5.735778e-01,1.459965e-01,2.090533e-02,1.405961e-01,6.204766e-02,1.460565e-02,2.471174e-02,1.265492e-02,4.904252e-03"	0.735194	0.172609	-0.066644	-7034.983404	6
0	11	261-G22	261-G20	3331	0.864839	0.000006	0	0.027609	0.012922	0.076619	0.011279	0.000004	0.006723	0.024876	0.094624	0.047257	0.018825	0.012362	0.013184	0.000004	0.006723	0.006727	0.083044	0.024505	-4149.602066	58	-1	0.632068	"5.713443e-01,1.446193e-01,1.981827e-02,1.433913e-01,5.569607e-02,1.760826e-02,2.238554e-02,1.983083e-02,5.306133e-03"	0.757752	0.151491	-0.065725	-4602.929707	7
0	12	261-G22	274-G15	4540	0.859512	0.000003	0	0.055023	0.000004	0.085413	0.000011	0.000033	0	0.000014	0.085457	0.055061	0.000009	0.000006	0.000003	0.000033	0	0.000033	0.070268	0.015195	-5757.864511	70	-1	0.86148	"5.620209e-01,1.526702e-01,2.500659e-02,1.410881e-01,5.681745e-02,1.770929e-02,2.546875e-02,1.510104e-02,4.117738e-03"	0.888378	0.150692	-0.100256	-6397.329533	9
0	13	261-G22	281-G42	5054	0.845013	0.000002	0	0.08071	0	0.072288	0	0.000017	0.00197	0.001972	0.074275	0.082697	0.001971	0.00197	0.00197	0.000017	0.00197	0.001987	0.078487	-0.004211	-6278.168224	158	-1	0.959013	"5.713328e-01,1.444691e-01,2.262348e-02,1.446787e-01,5.724174e-02,1.656934e-02,2.537221e-02,1.276944e-02,4.943187e-03"	0.838474	0.156192	-0.089497	-6954.401975	6
0	14	261-G22	281-G260	5150	0.855583	0.001896	0	0.064722	0.003783	0.073672	0.000339	0.000003	0.000002	0.004042	0.074016	0.06851	0.002537	0.000172	0.001894	0.000003	0.000002	0.000005	0.074272	0.004475	-6249.260231	82	-1	0.97723	"5.809108e-01,1.390566e-01,2.011953e-02,1.449585e-01,5.632867e-02,1.654670e-02,2.334121e-02,1.350211e-02,5.235810e-03"	0.771556	0.157552	-0.071693	-6971.31234	9
0	15	261-G22	281-G262	5090	0.87389	0.000194	0	0.054459	0.001906	0.068184	0	0.001368	0	0.001526	0.069551	0.057732	0.001001	0	0.000953	0.001368	0	0.001368	0.064691	0.006862	-6227.731289	78	-1	0.965844	"5.753413e-01,1.438364e-01,2.222219e-02,1.424598e-01,5.983744e-02,1.489680e-02,2.302596e-02,1.418398e-02,4.196164e-03"	0.756184	0.165927	-0.070472	-6938.361511	7
0	16	261-G22	281-G264	5111	0.881248	0	0	0.04488	0	0.062427	0.000001	0.011441	0.000003	0.000004	0.073872	0.056324	0.000003	0.000003	0.000003	0.011442	0.000003	0.011444	0.065099	0.008773	-6401.34444	62	-1	0.969829	"5.637472e-01,1.512176e-01,2.647218e-02,1.365229e-01,6.384217e-02,1.600118e-02,2.382131e-02,1.423583e-02,4.139638e-03"	0.787778	0.173356	-0.08245	-7145.048753	6
0	17	261-G22	281-G265	5113	0.878315	0.000019	0	0.047302	0	0.058179	0	0.015051	0.001135	0.001144	0.074364	0.063488	0.00114	0.001135	0.001135	0.015051	0.001135	0.016185	0.068935	0.005438	-6334.96121	54	-1	0.970209	"5.666942e-01,1.487944e-01,2.365553e-02,1.484558e-01,5.587173e-02,1.351612e-02,2.523851e-02,1.322408e-02,4.549659e-03"	0.875112	0.149837	-0.096197	-7030.983327	6
0	18	261-G22	281-G259	5146	0.859389	0.000001	0	0.068907	0	0.069214	0	0.000868	0.001621	0.001622	0.071703	0.071397	0.001622	0.001622	0.001621	0.000868	0.001621	0.00249	0.071551	0.000153	-6315.951916	86	-1	0.976471	"5.714374e-01,1.452618e-01,2.410177e-02,1.476484e-01,5.484938e-02,1.441965e-02,2.401611e-02,1.379935e-02,4.466156e-03"	0.877273	0.148544	-0.096062	-7042.814599	6
0	19	261-G22	261-G18	3810	0.839777	0.000831	0.012803	0.052678	0	0.086302	0	0.007608	0.000002	0.01322	0.093911	0.060288	0.006611	0.000002	0.000002	0.02041	0.000002	0.020412	0.090317	0.016812	-4734.303913	150	-1	0.72296	"5.793597e-01,1.413038e-01,2.360040e-02,1.311849e-01,6.631912e-02,1.510473e-02,2.476794e-02,1.499755e-02,3.361847e-03"	0.729327	0.188965	-0.069889	-5226.661446	7
0	20	261-G22	268-G251	5150	0.861392	0.000001	0	0.06101	0.00057	0.049721	0	0.027306	0	0.000428	0.077027	0.088886	0.000285	0	0.000285	0.027306	0	0.027306	0.083242	-0.005645	-6303.607354	86	-1	0.97723	"5.798288e-01,1.368324e-01,2.439927e-02,1.440512e-01,5.767545e-02,1.406578e-02,2.346491e-02,1.385916e-02,5.822962e-03"	0.829888	0.161704	-0.089714	-7008.404542	6
0	21	261-G22	261-G26	5082	0.887967	0.002009	0.002957	0.028423	0	0.057832	0	0.016141	0.00467	0.008632	0.078643	0.049234	0.006651	0.00467	0.00467	0.019099	0.00467	0.023769	0.067901	0.014704	-6271.598986	114	-1	0.964326	"5.743147e-01,1.463364e-01,2.009513e-02,1.416382e-01,6.150056e-02,1.275083e-02,2.274033e-02,1.389023e-02,6.733584e-03"	0.696505	0.172053	-0.055232	-6932.937933	6
0	22	261-G22	Y21	5147	0.863823	0	0	0.061815	0	0.023722	0.003682	0.046959	0	0.002761	0.074363	0.108773	0.001841	0.001841	0	0.046959	0	0.046959	0.093409	-0.019046	-6394.556144	98	-1	0.97666	"5.715222e-01,1.374053e-01,3.101690e-02,1.441037e-01,5.913355e-02,1.407046e-02,2.214247e-02,1.366315e-02,6.942288e-03"	0.898971	0.163171	-0.110372	-7129.678599	6
0	23	261-G22	281-G23	5071	0.840309	0	0.000001	0.082951	0.000003	0.057677	0	0.018667	0.000392	0.000395	0.076736	0.102013	0.000394	0.000392	0.000393	0.018668	0.000392	0.01906	0.089377	-0.012637	-6269.994003	58	-1	0.962239	"5.757494e-01,1.372197e-01,2.680491e-02,1.454727e-01,5.624886e-02,1.522532e-02,2.421637e-02,1.351094e-02,5.551721e-03"	0.907063	0.155191	-0.108023	-6990.20052	6
0	24	261-G22	281-G184	5149	0.824084	0.010089	0.000047	0.091395	0	0.073119	0	0.001263	0.000002	0.005094	0.074385	0.09266	0.002548	0.000002	0.000002	0.00131	0.000002	0.001313	0.088614	-0.009138	-6349.555209	90	-1	0.97704	"5.759355e-01,1.374408e-01,2.777981e-02,1.359045e-01,6.296405e-02,1.728666e-02,2.331044e-02,1.503626e-02,4.341950e-03"	0.811419	0.176489	-0.090864	-7111.789952	6
0	25	261-G22	281-G26	3374	0.917198	0.001753	0.008828	0	0.004999	0.067221	0	0	0	0.013454	0.067221	0.004999	0.007352	0	0.0025	0.008828	0	0.008828	0.048314	0.033611	-4239.298185	138	-1	0.640228	"5.661950e-01,1.606286e-01,1.734602e-02,1.318697e-01,6.709756e-02,1.678373e-02,2.007824e-02,1.419706e-02,5.804151e-03"	0.557759	0.185916	-0.016936	-4689.889181	6
0	26	261-G22	Y08	5118	0.863859	0.000061	0.000003	0.065858	0.00008	0.060406	0	0.008491	0.001242	0.001335	0.070139	0.075671	0.001298	0.001242	0.001282	0.008494	0.001242	0.009736	0.072978	-0.002726	-6287.411339	82	-1	0.971157	"5.719624e-01,1.434352e-01,2.580915e-02,1.432239e-01,5.857229e-02,1.517443e-02,2.272589e-02,1.333065e-02,5.766082e-03"	0.828635	0.161046	-0.089052	-7056.355956	6
0	27	261-G22	281-G121	5154	0.914095	0	0	0.011266	0	0.043317	0.002407	0.028915	0	0.001805	0.074639	0.040181	0.001203	0.001203	0	0.028915	0	0.028915	0.058613	0.016026	-6258.546661	126	-1	0.977989	"5.768884e-01,1.421848e-01,2.147632e-02,1.411824e-01,6.192288e-02,1.375356e-02,2.393468e-02,1.287951e-02,5.777391e-03"	0.733348	0.174229	-0.066611	-7025.492803	6
0	28	261-G22	281-G141	5154	0.924403	0	0	0.001477	0	0.013235	0	0.060885	0	0	0.07412	0.062362	0	0	0	0.060885	0	0.060885	0.068241	0.005879	-6358.198912	142	-1	0.977989	"5.722553e-01,1.440110e-01,2.455145e-02,1.390488e-01,6.372011e-02,1.398463e-02,2.512481e-02,1.185196e-02,5.451916e-03"	0.779601	0.177705	-0.081663	-7089.059202	6
0	29	261-G22	P2	5149	0.90344	0.000029	0.000001	0.023624	0.000001	0.01766	0	0.055245	0	0.000016	0.072905	0.078869	0.000008	0	0.000001	0.055245	0	0.055245	0.075903	-0.002982	-6440.002104	70	-1	0.97704	"5.667242e-01,1.445357e-01,2.975270e-02,1.404744e-01,6.379452e-02,1.300345e-02,2.382602e-02,1.347303e-02,4.415869e-03"	0.839864	0.174748	-0.09876	-7143.708626	6
0	30	261-G22	P12	5145	0.911437	0.001463	0.003385	0.000156	0.008533	0.036899	0.001209	0.036918	0	0.011423	0.075026	0.045608	0.006929	0.000605	0.004267	0.040303	0	0.040303	0.069304	0.018371	-6232.856115	178	-1	0.976281	"5.819894e-01,1.380307e-01,2.019227e-02,1.375761e-01,6.455634e-02,1.480707e-02,2.452653e-02,1.251283e-02,5.808773e-03"	0.69271	0.185696	-0.05759	-6984.828969	6
0	31	261-G22	P21	5149	0.920406	0	0	0.001062	0	0.016303	0.01241	0.049819	0	0.009308	0.078532	0.050881	0.006205	0.006205	0	0.049819	0	0.049819	0.070912	0.00762	-6323.968699	154	-1	0.97704	"5.761588e-01,1.415719e-01,2.324343e-02,1.386187e-01,6.503437e-02,1.286616e-02,2.374826e-02,1.340409e-02,5.354210e-03"	0.722567	0.183997	-0.066316	-7041.358311	6
0	32	261-G22	P20	5148	0.834957	0.000004	0	0.079329	0.012094	0.052869	0.00942	0.011327	0	0.016137	0.073616	0.10275	0.010758	0.00471	0.006047	0.011327	0	0.011327	0.098942	-0.01323	-6345.999831	134	-1	0.97685	"5.795117e-01,1.364262e-01,2.464097e-02,1.388622e-01,5.962120e-02,1.864160e-02,2.120397e-02,1.432132e-02,6.770869e-03"	0.768937	0.168376	-0.075016	-7071.250284	6
0	33	261-G22	P18	5149	0.91902	0.000026	0.008747	0	0	0.052094	0.000002	0.02011	0.000001	0.008763	0.072207	0.020112	0.004382	0.000002	0.000002	0.028857	0.000001	0.028858	0.05492	0.026047	-6343.5044	74	-1	0.97704	"5.691221e-01,1.499273e-01,2.159664e-02,1.331170e-01,7.232486e-02,1.165882e-02,2.245849e-02,1.447888e-02,5.315941e-03"	0.609128	0.204749	-0.034783	-7088.870232	9
0	34	261-G22	P13	5156	0.871553	0	0	0.053	0	0.06297	0	0.007985	0.004492	0.004492	0.075447	0.065477	0.004492	0.004492	0.004492	0.007985	0.004492	0.012477	0.070462	0.004985	-6376.299712	66	-1	0.978368	"5.700933e-01,1.464298e-01,2.466126e-02,1.452430e-01,5.692214e-02,1.377374e-02,2.245013e-02,1.431773e-02,6.108839e-03"	0.827646	0.155154	-0.086024	-7090.754395	6
0	35	261-G22	281-G24	4595	0.889719	0.00049	0.000394	0.026043	0.002332	0.035198	0.007151	0.038674	0	0.007751	0.081022	0.067048	0.005061	0.003575	0.001166	0.039068	0	0.039068	0.079416	0.004577	-5805.040227	242	-1	0.871917	"5.697863e-01,1.446048e-01,2.518933e-02,1.354040e-01,6.535419e-02,1.572317e-02,2.383700e-02,1.494918e-02,5.152030e-03"	0.750164	0.181687	-0.074081	-6417.325381	7
0	36	261-G22	281-G25	4043	0.895927	0.000002	0	0.024495	0	0.048509	0	0.031064	0.000002	0.000003	0.079575	0.055561	0.000003	0.000002	0.000002	0.031064	0.000002	0.031066	0.067569	0.012007	-5077.724085	110	-1	0.767173	"5.664515e-01,1.459525e-01,2.538966e-02,1.370822e-01,6.687394e-02,1.440918e-02,2.541225e-02,1.382962e-02,4.599220e-03"	0.759667	0.184696	-0.078041	-5655.670498	10
0	37	261-G22	281-G29	3162	0.866792	0	0	0.021409	0.011825	0.082345	0	0.017629	0	0.008869	0.099974	0.050863	0.005912	0	0.005912	0.017629	0	0.017629	0.081331	0.030468	-3937.976348	130	-1	0.6	"5.827384e-01,1.416256e-01,2.078995e-02,1.407999e-01,5.654007e-02,1.319866e-02,2.438556e-02,1.420692e-02,5.714919e-03"	0.799	0.159265	-0.079948	-4343.447122	9
0	38	261-G22	Y03	5045	0.846081	0	0	0.08216	0	0.06042	0.000001	0.007981	0.003357	0.003358	0.071759	0.093498	0.003357	0.003357	0.003357	0.007981	0.003357	0.011338	0.082629	-0.01087	-6305.468699	102	-1	0.957306	"5.694087e-01,1.440245e-01,2.739259e-02,1.414468e-01,5.919277e-02,1.602294e-02,2.333361e-02,1.347977e-02,5.698263e-03"	0.856966	0.161861	-0.097516	-7005.408855	6
0	39	261-G22	281-G34	5019	0.871131	0	0	0.0524	0	0.053179	0	0.023291	0	0	0.076469	0.07569	0	0	0	0.023291	0	0.023291	0.07608	0.00039	-6250.760717	114	-1	0.952372	"5.651667e-01,1.450152e-01,3.014233e-02,1.455053e-01,5.778402e-02,1.359498e-02,2.419922e-02,1.298110e-02,5.611095e-03"	0.940425	0.155568	-0.117641	-7036.940978	7
0	40	261-G22	281-G56	5088	0.905023	0.000002	0	0.016463	0.006386	0.048366	0.0033	0.020355	0.000106	0.007371	0.072126	0.04331	0.00495	0.001756	0.003299	0.020355	0.000106	0.020461	0.062562	0.015952	-6308.675644	62	-1	0.965465	"5.667054e-01,1.501078e-01,2.337952e-02,1.400495e-01,6.157476e-02,1.614513e-02,2.035590e-02,1.492509e-02,6.756987e-03"	0.710282	0.168715	-0.058275	-7056.680645	6
0	41	261-G22	281-G55	4591	0.921419	0.000069	0.000018	0.001182	0	0.038247	0	0.039063	0.000002	0.000054	0.077312	0.040248	0.000028	0.000002	0.000002	0.039081	0.000002	0.039083	0.058832	0.018532	-5813.529778	98	-1	0.871157	"5.607905e-01,1.483711e-01,2.409138e-02,1.364095e-01,6.838387e-02,1.675179e-02,2.566519e-02,1.428569e-02,5.251092e-03"	0.727607	0.187059	-0.068781	-6493.616291	9
0	42	261-G22	281-G27	5147	0.873082	0.002421	0.004558	0.040118	0.004991	0.045245	0	0.029584	0	0.009513	0.074829	0.074693	0.00538	0	0.002496	0.034142	0	0.034142	0.083026	0.002563	-6395.81605	134	-1	0.97666	"5.716160e-01,1.436771e-01,2.438315e-02,1.381687e-01,6.471396e-02,1.453655e-02,2.279776e-02,1.327031e-02,6.836335e-03"	0.729069	0.181356	-0.067523	-7104.514981	6
0	43	261-G22	274-G13	3156	0.863249	0.000012	0	0.045714	0.011645	0.0541	0	0.02528	0	0.00874	0.07938	0.082639	0.005825	0	0.005822	0.02528	0	0.02528	0.086838	0.004193	-3989.451686	74	-1	0.598861	"5.729553e-01,1.443873e-01,2.516934e-02,1.371749e-01,6.270485e-02,1.633660e-02,2.497113e-02,1.132008e-02,4.980492e-03"	0.799627	0.174491	-0.086456	-4403.745589	6
0	44	261-G22	281-G22	4774	0.863819	0.0001	0	0.053726	0	0.065862	0	0.012578	0.003916	0.003966	0.082355	0.070219	0.003941	0.003916	0.003916	0.012578	0.003916	0.016493	0.076337	0.006068	-6029.020173	74	-1	0.905882	"5.695760e-01,1.475645e-01,2.413577e-02,1.404457e-01,5.931459e-02,1.557645e-02,2.141559e-02,1.465857e-02,7.312781e-03"	0.767962	0.163043	-0.072763	-6674.097688	7
0	45	261-G22	281-G33	4993	0.875124	0	0	0.05251	0	0.070614	0	0.000086	0.001666	0.001666	0.072366	0.054262	0.001666	0.001666	0.001666	0.000087	0.001666	0.001752	0.063314	0.009052	-6215.874455	66	-1	0.947438	"5.630131e-01,1.539739e-01,2.370838e-02,1.474406e-01,5.509889e-02,1.429180e-02,2.219112e-02,1.524496e-02,5.037306e-03"	0.833039	0.146209	-0.083192	-6911.071626	6
0	46	261-G22	274-G14	5140	0.833398	0	0	0.091276	0	0.066955	0	0.008371	0	0	0.075326	0.099647	0	0	0	0.008371	0	0.008371	0.087486	-0.012161	-6352.894774	82	-1	0.975332	"5.729015e-01,1.385436e-01,2.868704e-02,1.448466e-01,5.567825e-02,1.656927e-02,2.315585e-02,1.479381e-02,4.823971e-03"	0.931116	0.151879	-0.112665	-7112.619276	6
0	47	261-G22	261-G23	5158	0.83157	0.000002	0	0.087163	0.00558	0.072196	0.003414	0	0.000074	0.006821	0.075685	0.092817	0.004572	0.001782	0.002864	0	0.000074	0.000074	0.088749	-0.007483	-6335.693116	78	-1	0.978748	"5.778119e-01,1.403884e-01,2.357921e-02,1.441145e-01,5.404861e-02,1.821840e-02,2.371167e-02,1.359390e-02,4.533398e-03"	0.874969	0.148646	-0.095504	-7034.598784	6
0	48	261-G22	281-G28	4721	0.874401	0	0	0.049105	0.000018	0.051107	0	0.022516	0.002853	0.002867	0.076476	0.074492	0.002862	0.002853	0.002862	0.022516	0.002853	0.02537	0.075493	0.001001	-6029.359413	94	-1	0.895825	"5.579199e-01,1.563581e-01,2.519113e-02,1.451590e-01,5.627213e-02,1.612984e-02,2.646161e-02,1.150807e-02,5.000239e-03"	0.91791	0.14777	-0.106483	-6626.445528	6
0	49	261-G22	268-G250	5145	0.895312	0	0	0.031692	0.000001	0.017982	0	0.054042	0.000971	0.000971	0.072995	0.086705	0.000971	0.000971	0.000971	0.054042	0.000971	0.055013	0.079851	-0.006855	-6491.409134	102	-1	0.976281	"5.638853e-01,1.473240e-01,2.856700e-02,1.375209e-01,6.325146e-02,1.651965e-02,2.462018e-02,1.301802e-02,5.293544e-03"	0.840885	0.17208	-0.09781	-7203.493801	6
0	50	261-G22	Y05	4332	0.920805	0.000006	0.000076	0.000004	0	0.059841	0	0.019264	0.000005	0.000084	0.07911	0.019272	0.000044	0.000005	0.000005	0.01934	0.000005	0.019345	0.04927	0.029919	-5400.840975	94	-1	0.822011	"5.683214e-01,1.531332e-01,2.348024e-02,1.336128e-01,6.714442e-02,1.307232e-02,2.339683e-02,1.380147e-02,4.037334e-03"	0.698153	0.186255	-0.059409	-6016.354424	9
0	51	261-G22	Y09	5124	0.894943	0.000001	0	0.031329	0	0.036235	0	0.037493	0	0	0.073728	0.068821	0	0	0	0.037493	0	0.037493	0.071275	0.002453	-6282.296513	58	-1	0.972296	"5.736057e-01,1.420613e-01,2.429803e-02,1.418290e-01,6.072574e-02,1.477360e-02,2.364513e-02,1.340570e-02,5.655843e-03"	0.789503	0.168677	-0.081105	-7037.272968	6
0	52	261-G22	Y04	4802	0.866523	0.000001	0.000001	0.054694	0.000003	0.078609	0	0.000163	0.000005	0.000009	0.078778	0.054865	0.000007	0.000005	0.000006	0.000164	0.000005	0.000169	0.066825	0.011958	-5991.305329	54	-1	0.911195	"5.643709e-01,1.529629e-01,2.473552e-02,1.405329e-01,5.918188e-02,1.482533e-02,2.286306e-02,1.551538e-02,5.012234e-03"	0.804276	0.159333	-0.081446	-6684.419579	9
0	53	261-G22	Y01	5026	0.904158	0	0	0.024976	0.000001	0.030919	0.000045	0.039716	0.000184	0.000219	0.070865	0.064877	0.000207	0.000207	0.000185	0.039716	0.000184	0.0399	0.067894	0.002972	-6301.667513	90	-1	0.9537	"5.627654e-01,1.508219e-01,2.583059e-02,1.420401e-01,6.116023e-02,1.474542e-02,2.318083e-02,1.359906e-02,5.856477e-03"	0.801361	0.165201	-0.083112	-7003.435082	9
0	54	261-G22	Y07	4790	0.906345	0	0	0.0147	0.000007	0.078947	0	0.000001	0	0.000005	0.078948	0.014708	0.000003	0	0.000003	0.000001	0	0.000001	0.046831	0.032123	-5876.260325	70	-1	0.908918	"5.663550e-01,1.547707e-01,1.944122e-02,1.456595e-01,5.779705e-02,1.289411e-02,2.532799e-02,1.341159e-02,4.342908e-03"	0.774593	0.155575	-0.07176	-6584.458864	9
0	55	261-G22	Y02	5121	0.831765	0	0	0.092187	0	0.060574	0	0.015474	0	0	0.076049	0.107661	0	0	0	0.015474	0	0.015475	0.091855	-0.015806	-6398.507348	118	-1	0.971727	"5.707610e-01,1.391244e-01,3.066298e-02,1.440413e-01,5.799796e-02,1.485231e-02,2.313033e-02,1.442066e-02,5.008980e-03"	0.927504	0.158364	-0.115744	-7114.274214	6
0	56	261-G22	Y06	4644	0.908411	0.000001	0.000001	0.020448	0	0.020312	0	0.050827	0	0.000002	0.07114	0.071275	0.000001	0	0	0.050828	0	0.050828	0.071209	-0.000068	-5729.960313	166	-1	0.881214	"5.752200e-01,1.454174e-01,2.223827e-02,1.431873e-01,5.805516e-02,1.426352e-02,2.709350e-02,9.672413e-03,4.852414e-03"	0.84974	0.16043	-0.094735	-6376.195808	9
0	57	261-G22	274-G21	4889	0.920205	0.00005	0	0.000002	0	0.079698	0	0.000043	0.000002	0.000027	0.079744	0.000047	0.000015	0.000002	0.000002	0.000043	0.000002	0.000045	0.03992	0.039848	-6009.855105	70	-1	0.927704	"5.682867e-01,1.557207e-01,1.887639e-02,1.394889e-01,6.398931e-02,1.067149e-02,2.337914e-02,1.553875e-02,4.048653e-03"	0.660353	0.175952	-0.045665	-6714.851023	7
0	58	261-G22	Y10	4698	0.882269	0.000008	0.000003	0.029294	0.012687	0.055028	0.000001	0.020709	0	0.009524	0.075738	0.06269	0.006348	0.000001	0.006344	0.020712	0	0.020712	0.075566	0.012867	-5880.656291	58	-1	0.891461	"5.684735e-01,1.496740e-01,2.294953e-02,1.369385e-01,6.392917e-02,1.661130e-02,2.370635e-02,1.180560e-02,5.912057e-03"	0.729806	0.176754	-0.066343	-6513.577961	7
0	59	261-G22	Y15	3009	0.884358	0	0	0.043825	0	0.000244	0	0.071572	0	0	0.071817	0.115397	0	0	0	0.071572	0	0.071572	0.093607	-0.02179	-3877.688423	150	-1	0.570968	"5.552258e-01,1.459490e-01,3.545329e-02,1.430913e-01,6.262705e-02,1.487348e-02,2.961294e-02,9.993830e-03,3.173252e-03"	1.038948	0.165254	-0.153714	-4274.902052	9
0	60	261-G22	Y18	5123	0.826711	0.000001	0	0.099294	0	0.04362	0	0.030374	0	0	0.073994	0.129668	0	0	0	0.030374	0	0.030374	0.101831	-0.027837	-6415.106218	90	-1	0.972106	"5.695181e-01,1.392341e-01,3.178512e-02,1.394949e-01,5.998095e-02,1.747151e-02,2.503987e-02,1.291616e-02,4.559247e-03"	0.947384	0.163908	-0.12508	-7142.878829	6
0	61	261-G22	Y14	3736	0.908687	0.000151	0.000002	0.006137	0	0.008003	0.008533	0.068486	0	0.006477	0.085023	0.074624	0.004305	0.004266	0	0.068488	0	0.068488	0.084167	0.000933	-4703.435606	178	-1	0.708918	"5.706601e-01,1.423691e-01,2.562929e-02,1.393273e-01,6.312385e-02,1.421039e-02,2.372471e-02,1.451972e-02,6.435564e-03"	0.78186	0.175451	-0.081489	-5216.197376	9
0	62	261-G22	Y11	4991	0.874102	0	0	0.044265	0.010873	0.027438	0.005264	0.038059	0	0.012102	0.070761	0.093197	0.008068	0.002632	0.005436	0.038059	0	0.038059	0.090047	-0.008413	-6233.425956	102	-1	0.947059	"5.734290e-01,1.430674e-01,2.536800e-02,1.410949e-01,5.898325e-02,1.605283e-02,2.302981e-02,1.276610e-02,6.208690e-03"	0.820535	0.163217	-0.087742	-6905.363222	6
